V	DZ1	C1	Fn1	DZ2	C2	Fn2
-1.97908	0.2559	-4.51331E-11	9.7169E-11	0.7559	-1.58815E-11	3.34352E-11
-1.97892	0.2559	-4.51573E-11	9.73345E-11	0.7559	-1.58842E-11	3.34607E-11
-1.97875	0.2552	-4.51663E-11	9.74176E-11	0.7552	-1.58868E-11	3.34864E-11
-1.97858	0.2552	-4.51906E-11	9.75829E-11	0.7552	-1.58895E-11	3.3512E-11
-1.97842	0.2545	-4.51993E-11	9.7667E-11	0.7545	-1.58922E-11	3.35376E-11
-1.97825	0.2545	-4.52237E-11	9.78323E-11	0.7545	-1.58949E-11	3.35633E-11
-1.97808	0.2538	-4.52322E-11	9.79174E-11	0.7538	-1.58975E-11	3.3589E-11
-1.97792	0.2538	-4.52566E-11	9.80829E-11	0.7538	-1.59002E-11	3.36147E-11
-1.97775	0.2531	-4.52649E-11	9.8169E-11	0.7531	-1.59029E-11	3.36405E-11
-1.97758	0.2531	-4.52894E-11	9.83346E-11	0.7531	-1.59056E-11	3.36663E-11
-1.97742	0.2524	-4.52975E-11	9.84212E-11	0.7524	-1.59082E-11	3.36921E-11
-1.97725	0.2524	-4.5322E-11	9.8587E-11	0.7524	-1.59109E-11	3.3718E-11
-1.97708	0.2517	-4.53298E-11	9.86735E-11	0.7517	-1.59136E-11	3.37439E-11
-1.97692	0.2517	-4.53543E-11	9.88395E-11	0.7517	-1.59162E-11	3.37698E-11
-1.97675	0.251	-4.53619E-11	9.89261E-11	0.751	-1.59189E-11	3.37957E-11
-1.97658	0.251	-4.53864E-11	9.9093E-11	0.751	-1.59216E-11	3.38217E-11
-1.97642	0.2503	-4.53937E-11	9.91796E-11	0.7503	-1.59242E-11	3.38477E-11
-1.97625	0.2503	-4.54183E-11	9.93475E-11	0.7503	-1.59269E-11	3.38737E-11
-1.97608	0.2496	-4.54254E-11	9.94342E-11	0.7496	-1.59295E-11	3.38998E-11
-1.97592	0.2496	-4.54499E-11	9.9603E-11	0.7496	-1.59322E-11	3.39259E-11
-1.97575	0.2489	-4.54567E-11	9.96902E-11	0.7489	-1.59348E-11	3.39521E-11
-1.97558	0.2489	-4.54813E-11	9.986E-11	0.7489	-1.59375E-11	3.39782E-11
-1.97542	0.2482	-4.54878E-11	9.99478E-11	0.7482	-1.59401E-11	3.40044E-11
-1.97525	0.2482	-4.55124E-11	1.00119E-10	0.7482	-1.59428E-11	3.40307E-11
-1.97508	0.2475	-4.55186E-11	1.00207E-10	0.7475	-1.59454E-11	3.4057E-11
-1.97492	0.2475	-4.55432E-11	1.00379E-10	0.7475	-1.59498E-11	3.41001E-11
-1.97475	0.2468	-4.55491E-11	1.00468E-10	0.7468	-1.59541E-11	3.41435E-11
-1.97458	0.2468	-4.55736E-11	1.00642E-10	0.7468	-1.59585E-11	3.4187E-11
-1.97442	0.2461	-4.55793E-11	1.00732E-10	0.7461	-1.59628E-11	3.42307E-11
-1.97425	0.2461	-4.56038E-11	1.00908E-10	0.7461	-1.59672E-11	3.42745E-11
-1.97408	0.2454	-4.56092E-11	1.00998E-10	0.7454	-1.59716E-11	3.43185E-11
-1.97392	0.2454	-4.56336E-11	1.01175E-10	0.7454	-1.5976E-11	3.43626E-11
-1.97375	0.2447	-4.56387E-11	1.01265E-10	0.7447	-1.59804E-11	3.4407E-11
-1.97358	0.2447	-4.56631E-11	1.01445E-10	0.7447	-1.59848E-11	3.44514E-11
-1.97342	0.244	-4.56679E-11	1.01535E-10	0.744	-1.59892E-11	3.44961E-11
-1.97325	0.244	-4.56923E-11	1.01716E-10	0.744	-1.59936E-11	3.45408E-11
-1.97308	0.2433	-4.56967E-11	1.01807E-10	0.7433	-1.59981E-11	3.45858E-11
-1.97292	0.2433	-4.5721E-11	1.01989E-10	0.7433	-1.60025E-11	3.46309E-11
-1.97275	0.2426	-4.57252E-11	1.0208E-10	0.7426	-1.60069E-11	3.46763E-11
-1.97258	0.2426	-4.57495E-11	1.02265E-10	0.7426	-1.60114E-11	3.47217E-11
-1.97242	0.2419	-4.57534E-11	1.02356E-10	0.7419	-1.60159E-11	3.47673E-11
-1.97225	0.2419	-4.57775E-11	1.02542E-10	0.7419	-1.60204E-11	3.48131E-11
-1.97208	0.2412	-4.57811E-11	1.02633E-10	0.7412	-1.60248E-11	3.48591E-11
-1.97192	0.2412	-4.58051E-11	1.02821E-10	0.7412	-1.60293E-11	3.49052E-11
-1.97175	0.2405	-4.58085E-11	1.02913E-10	0.7405	-1.60338E-11	3.49515E-11
-1.97158	0.2405	-4.58324E-11	1.03103E-10	0.7405	-1.60383E-11	3.49979E-11
-1.97142	0.2398	-4.58354E-11	1.03195E-10	0.7398	-1.60428E-11	3.50445E-11
-1.97125	0.2398	-4.58593E-11	1.03387E-10	0.7398	-1.60474E-11	3.50913E-11
-1.97108	0.2391	-4.5862E-11	1.03479E-10	0.7391	-1.60519E-11	3.51383E-11
-1.97092	0.2391	-4.58857E-11	1.03672E-10	0.7391	-1.60564E-11	3.51853E-11
-1.97075	0.2384	-4.58882E-11	1.03765E-10	0.7384	-1.6061E-11	3.52327E-11
-1.97058	0.2384	-4.59118E-11	1.0396E-10	0.7384	-1.60655E-11	3.52801E-11
-1.97042	0.2377	-4.5914E-11	1.04054E-10	0.7377	-1.60701E-11	3.53277E-11
-1.97025	0.2377	-4.59374E-11	1.0425E-10	0.7377	-1.60747E-11	3.53755E-11
-1.97008	0.237	-4.59394E-11	1.04344E-10	0.737	-1.60792E-11	3.54234E-11
-1.96992	0.237	-4.59627E-11	1.04541E-10	0.737	-1.60838E-11	3.54715E-11
-1.96975	0.2363	-4.59643E-11	1.04636E-10	0.7363	-1.60884E-11	3.55198E-11
-1.96958	0.2363	-4.59875E-11	1.04835E-10	0.7363	-1.6093E-11	3.55682E-11
-1.96942	0.2356	-4.59889E-11	1.04929E-10	0.7356	-1.60976E-11	3.56169E-11
-1.96925	0.2356	-4.6012E-11	1.05129E-10	0.7356	-1.61022E-11	3.56656E-11
-1.96908	0.2349	-4.60131E-11	1.05224E-10	0.7349	-1.61068E-11	3.57146E-11
-1.96892	0.2349	-4.6036E-11	1.05425E-10	0.7349	-1.61115E-11	3.57637E-11
-1.96875	0.2342	-4.60369E-11	1.0552E-10	0.7342	-1.61161E-11	3.5813E-11
-1.96858	0.2342	-4.60596E-11	1.05723E-10	0.7342	-1.61208E-11	3.58624E-11
-1.96842	0.2335	-4.60602E-11	1.05817E-10	0.7335	-1.61254E-11	3.59121E-11
-1.96825	0.2335	-4.60828E-11	1.06022E-10	0.7335	-1.61301E-11	3.59618E-11
-1.96808	0.2328	-4.60832E-11	1.06116E-10	0.7328	-1.61347E-11	3.60118E-11
-1.96792	0.2328	-4.61056E-11	1.06321E-10	0.7328	-1.61394E-11	3.60619E-11
-1.96775	0.2321	-4.61058E-11	1.06416E-10	0.7321	-1.61441E-11	3.61122E-11
-1.96758	0.2321	-4.6128E-11	1.06623E-10	0.7321	-1.61488E-11	3.61626E-11
-1.96742	0.2314	-4.6128E-11	1.06717E-10	0.7314	-1.61534E-11	3.62132E-11
-1.96725	0.2314	-4.61501E-11	1.06926E-10	0.7314	-1.61581E-11	3.6264E-11
-1.96708	0.2307	-4.61498E-11	1.0702E-10	0.7307	-1.61628E-11	3.63149E-11
-1.96692	0.2307	-4.61717E-11	1.0723E-10	0.7307	-1.61676E-11	3.6366E-11
-1.96675	0.23	-4.61713E-11	1.07325E-10	0.73	-1.61723E-11	3.64172E-11
-1.96658	0.23	-4.6193E-11	1.07537E-10	0.73	-1.6177E-11	3.64686E-11
-1.96642	0.2293	-4.61924E-11	1.07632E-10	0.7293	-1.61817E-11	3.65202E-11
-1.96625	0.2293	-4.62139E-11	1.07846E-10	0.7293	-1.61865E-11	3.65719E-11
-1.96608	0.2286	-4.62131E-11	1.07942E-10	0.7286	-1.61912E-11	3.66238E-11
-1.96592	0.2286	-4.62344E-11	1.08158E-10	0.7286	-1.6196E-11	3.66758E-11
